_model	model.x	model.y	foc_length	foc_minimum_features	foc_part_of_speech	foc_sent_bound	foc_weighting	foc_window	soc_length	soc_length_num	soc_part_of_speech	tokens	type
dry.foc10.all.no_ppmi.nobound.min1.all.10000	-0.3082018003026084	-0.4144902789487736	1758	1	all	nobound	no_ppmi	10_10	10000	10000	all	300	dry
dry.foc10.all.no_ppmi.nobound.min1.all.foc	-0.3230779852911221	-0.4081674117512482	1758	1	all	nobound	no_ppmi	10_10	foc	1758	all	300	dry
dry.foc5.nav.ppmi_weight.nobound.min1.nav.5000	0.08611847876697902	0.20922718033964985	595	1	nav	nobound	ppmi_weight	5_5	5000	5000	nav	296	dry
dry.foc5.nav.ppmi_weight.nobound.min1.nav.10000	0.09020246222537899	0.20526515831701952	595	1	nav	nobound	ppmi_weight	5_5	10000	10000	nav	296	dry
dry.foc5.nav.ppmi_weight.nobound.min1.nav.foc	0.4951417215206809	0.05976695939463554	595	1	nav	nobound	ppmi_weight	5_5	foc	595	nav	296	dry
dry.foc5.nav.ppmi_weight.nobound.min1.all.5000	0.08703210231478457	0.20881232843859018	595	1	nav	nobound	ppmi_weight	5_5	5000	5000	all	296	dry
dry.foc5.nav.ppmi_weight.nobound.min1.all.10000	0.0903457444831843	0.20527878029789234	595	1	nav	nobound	ppmi_weight	5_5	10000	10000	all	296	dry
dry.foc5.nav.ppmi_weight.nobound.min1.all.foc	0.49472673305539694	0.0597279321886672	595	1	nav	nobound	ppmi_weight	5_5	foc	595	all	296	dry
dry.foc5.nav.ppmi_sel.nobound.min1.nav.5000	0.0971794915249362	0.18789796104493073	595	1	nav	nobound	ppmi_sel	5_5	5000	5000	nav	296	dry
dry.foc5.nav.ppmi_sel.nobound.min1.nav.10000	0.10233150920262053	0.1845339048012216	595	1	nav	nobound	ppmi_sel	5_5	10000	10000	nav	296	dry
dry.foc5.nav.ppmi_sel.nobound.min1.nav.foc	0.4668650178430623	0.07766294087724168	595	1	nav	nobound	ppmi_sel	5_5	foc	595	nav	296	dry
dry.foc5.nav.ppmi_sel.nobound.min1.all.5000	0.09669245974074364	0.18773317611523885	595	1	nav	nobound	ppmi_sel	5_5	5000	5000	all	296	dry
dry.foc5.nav.ppmi_sel.nobound.min1.all.10000	0.10233962462853516	0.18453023083202974	595	1	nav	nobound	ppmi_sel	5_5	10000	10000	all	296	dry
dry.foc5.nav.ppmi_sel.nobound.min1.all.foc	0.466864047172202	0.07767179135583975	595	1	nav	nobound	ppmi_sel	5_5	foc	595	all	296	dry
dry.foc5.nav.no_ppmi.nobound.min1.nav.5000	-0.13526636082082336	0.287123168514701	839	1	nav	nobound	no_ppmi	5_5	5000	5000	nav	299	dry
dry.foc5.nav.no_ppmi.nobound.min1.nav.10000	-0.13810594388668565	0.282178362739984	839	1	nav	nobound	no_ppmi	5_5	10000	10000	nav	299	dry
dry.foc5.nav.no_ppmi.nobound.min1.nav.foc	-0.11220188127322424	0.23583439038106066	839	1	nav	nobound	no_ppmi	5_5	foc	839	nav	299	dry
dry.foc5.nav.no_ppmi.nobound.min1.all.5000	-0.13525472594849122	0.286995578672043	839	1	nav	nobound	no_ppmi	5_5	5000	5000	all	299	dry
dry.foc5.nav.no_ppmi.nobound.min1.all.10000	-0.13811363108338495	0.28215135252184237	839	1	nav	nobound	no_ppmi	5_5	10000	10000	all	299	dry
dry.foc5.nav.no_ppmi.nobound.min1.all.foc	-0.11219643034872412	0.23583637181927158	839	1	nav	nobound	no_ppmi	5_5	foc	839	all	299	dry
dry.foc5.all.ppmi_weight.nobound.min1.nav.5000	0.04335472471583684	0.06498257339620539	666	1	all	nobound	ppmi_weight	5_5	5000	5000	nav	297	dry
dry.foc5.all.ppmi_weight.nobound.min1.nav.10000	0.045916616770603616	0.05758055326814598	666	1	all	nobound	ppmi_weight	5_5	10000	10000	nav	297	dry
dry.foc5.all.ppmi_weight.nobound.min1.nav.foc	0.15802073902728442	0.037398866316335336	666	1	all	nobound	ppmi_weight	5_5	foc	666	nav	297	dry
dry.foc5.all.ppmi_weight.nobound.min1.all.5000	0.04224321891339612	0.06380317512790926	666	1	all	nobound	ppmi_weight	5_5	5000	5000	all	297	dry
dry.foc5.all.ppmi_weight.nobound.min1.all.10000	0.04589622407952274	0.057613449798822776	666	1	all	nobound	ppmi_weight	5_5	10000	10000	all	297	dry
dry.foc5.all.ppmi_weight.nobound.min1.all.foc	0.15802073902728442	0.037398866316335336	666	1	all	nobound	ppmi_weight	5_5	foc	666	all	297	dry
dry.foc5.all.ppmi_sel.nobound.min1.nav.5000	0.0777430749063517	0.004342857621045412	666	1	all	nobound	ppmi_sel	5_5	5000	5000	nav	297	dry
dry.foc5.all.ppmi_sel.nobound.min1.nav.10000	0.0778361280626398	-2.5619165546553744e-4	666	1	all	nobound	ppmi_sel	5_5	10000	10000	nav	297	dry
dry.foc5.all.ppmi_sel.nobound.min1.nav.foc	0.14789746209465443	-0.08756016728803805	666	1	all	nobound	ppmi_sel	5_5	foc	666	nav	297	dry
dry.foc5.all.ppmi_sel.nobound.min1.all.5000	0.07694833452820844	0.003633075870532008	666	1	all	nobound	ppmi_sel	5_5	5000	5000	all	297	dry
dry.foc5.all.ppmi_sel.nobound.min1.all.10000	0.0778289062638124	-2.3056071009730614e-4	666	1	all	nobound	ppmi_sel	5_5	10000	10000	all	297	dry
dry.foc5.all.ppmi_sel.nobound.min1.all.foc	0.1478949993106704	-0.08756699565607955	666	1	all	nobound	ppmi_sel	5_5	foc	666	all	297	dry
dry.foc5.all.no_ppmi.nobound.min1.nav.5000	-0.21491351095050987	0.0983963659940655	971	1	all	nobound	no_ppmi	5_5	5000	5000	nav	300	dry
dry.foc5.all.no_ppmi.nobound.min1.nav.10000	-0.21343431302152668	0.09719168961270996	971	1	all	nobound	no_ppmi	5_5	10000	10000	nav	300	dry
dry.foc5.all.no_ppmi.nobound.min1.nav.foc	-0.21995282726500953	0.1077816336235112	971	1	all	nobound	no_ppmi	5_5	foc	971	nav	300	dry
dry.foc5.all.no_ppmi.nobound.min1.all.5000	-0.21437060015029394	0.09848462043792205	971	1	all	nobound	no_ppmi	5_5	5000	5000	all	300	dry
dry.foc5.all.no_ppmi.nobound.min1.all.10000	-0.21342478317643138	0.09716974617166704	971	1	all	nobound	no_ppmi	5_5	10000	10000	all	300	dry
dry.foc5.all.no_ppmi.nobound.min1.all.foc	-0.21995091441221462	0.10778441323456263	971	1	all	nobound	no_ppmi	5_5	foc	971	all	300	dry
