pmi	raw_freq	raw_co	cw
0.39711648	298683	454	feel/v
1.1720028	305	1	ferrer/n
-1.3440688	3758	1	ferry/n
1.9878535	3614	27	fertilizer/n
-0.4074047	1471	1	feud/n
0.53523153	100288	175	field/n
-0.6824696	61980	32	fight/v
-0.93644917	9981	4	fighting/n
0.70925415	62086	129	fill/v
1.418572	6663	28	filter/n
-0.0021963483	428639	437	find/v
0.789148	59897	134	fine/j
1.0341674	44218	127	finger/n
0.6431378	1545	3	finger/v
1.3835297	64632	263	fire/n
2.596903	1093	15	firewood/n
1.2363988	46354	163	fish/n
1.2613615	5544	20	fish/v
1.9365226	142	1	fishmonger/n
2.5129728	476	6	fistful/n
2.768964	2727	44	flake/n
1.2384733	571	2	flamingo/n
1.8310324	13969	89	flat/j
1.6128829	12340	63	flavor/n
0.77137464	8179	18	flip/v
1.347823	254	1	floe/n
1.5735788	8711	43	flood/n
2.828452	577	10	floodplain/n
1.714552	885	5	flooring/n
2.9617054	10462	203	flour/n
1.947953	700	5	floured/j
1.0413411	12420	36	flow/v
1.4570483	1140	5	flowering/j
0.98160243	2200	6	fluctuation/n
2.6620603	10472	153	fly/n
-0.120083764	44196	40	fly/v
2.0908794	2904	24	foliage/n
0.2280595	129577	166	follow/v
0.9557503	119767	318	food/n
1.0673155	117623	349	foot/n
-0.17442466	3588510	3077	for/i
-0.3839776	131967	92	for/r
-0.29149786	48412	37	force/v
0.3621454	2042	3	foreground/n
1.8994917	39935	272	forest/n
1.1456071	2492	8	foul/j
-0.7002473	7882	4	frame/v
-1.3766426	23449	6	france/n
5.523622	35	9	freckman/n
2.5388534	77	1	freesia/n
1.3728126	12701	51	freeze/v
0.16489942	29956	36	french/j
0.7198613	10001	21	frequent/j
2.05861	41446	329	fresh/j
2.8351567	5585	95	freshly/r
-0.7911106	4321	2	frightening/j
1.0539609	342	1	fritter/n
0.016255636	1785287	1853	from/i
1.4350431	24496	105	fruit/n
1.0607433	2375	7	fry/v
3.1960993	40	1	fryrear/n
3.427463	64	2	fryxell/n
2.0204747	1685	13	fume/n
-0.086293444	7472	7	functional/j
-1.3494055	56709	15	fund/n
1.0674163	6072	18	fur/n
0.77349466	902	2	gall/n
2.7633185	13395	214	garlic/n
1.8800355	3726	25	garment/n
0.33426338	30084	43	gather/v
0.55623716	11229	20	gaze/n
1.3326777	14514	56	gear/n
0.72197926	4282	9	generator/n
1.8891176	13321	90	gently/r
2.4072413	176	2	geologically/r
-0.54444486	1684	1	geologist/n
-1.340901	71437	19	george/n
-0.8443634	2292	1	gerry/n
-0.22898668	1084374	878	get/v
